timeOnIce,goals,assists,plusMinus,powerPlayGoals,shots,hits,penaltyMinutes,points
1152.6,0.0,0.2,0.2,0.0,1.6,1.0,0.8,1.0
1161.2,0.0,0.4,0.4,0.0,1.4,1.0,0.8,0.0
1142.2,0.0,0.4,1.0,0.0,1.2,1.4,0.8,0.0
1221.0,0.0,0.4,1.4,0.0,1.0,1.8,0.0,0.0
1230.8,0.0,0.2,0.4,0.0,1.0,2.0,0.0,0.0
1211.6,0.0,0.2,0.4,0.0,1.2,2.0,0.0,0.0
1247.0,0.0,0.0,0.2,0.0,1.0,1.6,0.0,0.0
1238.6,0.0,0.0,0.2,0.0,1.0,1.6,0.4,1.0
1174.2,0.0,0.2,-0.2,0.0,1.2,1.0,0.8,0.0
1193.0,0.0,0.2,-0.2,0.0,1.4,0.6,0.8,0.0
1232.2,0.0,0.2,0.0,0.0,1.4,0.8,0.8,0.0
1208.8,0.0,0.2,0.0,0.0,1.6,1.0,0.8,0.0
1195.6,0.0,0.2,-0.6,0.0,1.8,0.6,0.4,0.0
1234.8,0.0,0.0,-0.4,0.0,1.6,0.4,0.4,0.0
1233.2,0.0,0.0,0.0,0.0,1.4,0.4,0.4,1.0
1211.6,0.0,0.2,0.4,0.0,1.8,0.2,0.4,0.0
1205.6,0.0,0.2,-0.4,0.0,1.4,0.2,0.4,0.0
1225.2,0.0,0.2,-0.6,0.0,1.2,0.2,0.4,0.0
1194.2,0.0,0.2,-0.8,0.0,1.2,0.2,0.0,0.0
1148.2,0.0,0.2,-1.0,0.0,1.2,0.4,0.0,0.0
1159.2,0.0,0.0,-1.4,0.0,0.8,0.4,0.0,0.0
1178.4,0.0,0.0,-0.4,0.0,1.0,0.6,0.0,0.0
1190.6,0.0,0.0,0.0,0.0,0.8,0.6,0.0,0.0
1205.4,0.0,0.0,-0.2,0.0,1.4,1.2,0.0,0.0
1227.4,0.0,0.0,0.0,0.0,1.4,1.2,0.0,0.0
1215.2,0.0,0.0,-0.4,0.0,2.0,1.4,0.0,0.0
1205.4,0.0,0.0,-0.4,0.0,2.2,1.0,0.0,0.0
1210.8,0.0,0.0,-0.8,0.0,2.2,1.2,0.0,1.0
1165.6,0.2,0.0,0.2,0.0,2.0,0.6,0.0,0.0
1158.4,0.2,0.0,0.2,0.0,1.8,0.4,0.0,0.0
1160.8,0.2,0.0,0.4,0.0,1.2,0.2,0.0,0.0
1161.8,0.2,0.0,0.2,0.0,0.8,0.4,0.0,0.0
1132.4,0.2,0.0,1.0,0.0,1.0,0.4,0.0,1.0
1145.6,0.0,0.2,1.2,0.0,0.4,0.6,0.0,0.0
1135.4,0.0,0.2,1.0,0.0,0.6,0.8,0.0,0.0
1110.8,0.0,0.2,1.0,0.0,0.8,0.8,0.0,0.0
1097.8,0.0,0.2,1.4,0.0,0.8,1.0,0.0,0.0
1090.8,0.0,0.2,1.0,0.0,0.6,1.6,0.4,2.0
1079.4,0.0,0.4,0.4,0.0,0.8,1.8,1.2,0.0
1097.8,0.0,0.4,0.8,0.0,1.0,2.0,1.2,0.0
1131.8,0.0,0.4,1.0,0.0,0.8,2.6,1.2,0.0
1129.6,0.0,0.4,0.6,0.0,1.4,2.4,1.2,0.0
1114.8,0.0,0.4,0.6,0.0,1.4,1.8,0.8,1.0
1089.0,0.0,0.2,0.4,0.0,1.6,1.8,0.0,0.0
1045.4,0.0,0.2,0.2,0.0,1.4,1.4,0.8,0.0
1019.6,0.0,0.2,0.4,0.0,1.2,1.8,0.8,2.0
1062.0,0.0,0.6,0.8,0.0,0.6,1.8,0.8,0.0
1117.6,0.0,0.6,0.8,0.0,0.8,1.6,1.2,1.0
1206.4,0.2,0.4,0.8,0.0,1.4,1.2,1.6,0.0
1224.4,0.2,0.4,0.8,0.0,1.2,1.4,0.8,0.0
1246.6,0.2,0.4,0.2,0.0,1.2,1.0,0.8,0.0
1265.8,0.2,0.0,-0.2,0.0,1.2,1.4,0.8,0.0
1287.2,0.2,0.0,-0.2,0.0,1.6,2.2,0.4,0.0
1228.2,0.0,0.0,-0.4,0.0,1.0,2.2,0.0,0.0
1214.8,0.0,0.0,-0.2,0.0,1.0,2.0,0.4,0.0
1164.0,0.0,0.0,0.0,0.0,1.4,1.6,0.4,0.0
